2026-07-03 20:03:45.903 | INFO     | app.collectors.market_collector:collect:27 - Downloaded 1238 rows
2026-07-03 20:03:45.971 | INFO     | app.collectors.market_collector:save:40 - Saved data\TCS.csv
2026-07-03 20:03:45.972 | INFO     | app.collectors.market_collector:collect:19 - Downloading INFY
2026-07-03 20:03:46.318 | INFO     | app.collectors.market_collector:collect:27 - Downloaded 1238 rows
2026-07-03 20:03:46.439 | INFO     | app.collectors.market_collector:save:40 - Saved data\INFY.csv
2026-07-03 20:03:46.441 | INFO     | app.collectors.market_collector:collect:19 - Downloading HDFCBANK
2026-07-03 20:03:46.696 | INFO     | app.collectors.market_collector:collect:27 - Downloaded 1238 rows
2026-07-03 20:03:46.754 | INFO     | app.collectors.market_collector:save:40 - Saved data\HDFCBANK.csv
2026-07-03 20:03:46.755 | INFO     | app.collectors.market_collector:collect:19 - Downloading ICICIBANK
2026-07-03 20:03:46.969 | INFO     | app.collectors.market_collector:collect:27 - Downloaded 1238 rows
2026-07-03 20:03:47.065 | INFO     | app.collectors.market_collector:save:40 - Saved data\ICICIBANK.csv
2026-07-03 20:03:47.066 | INFO     | app.collectors.market_collector:collect:19 - Downloading SBIN
2026-07-03 20:03:47.271 | INFO     | app.collectors.market_collector:collect:27 - Downloaded 1238 rows
2026-07-03 20:03:47.386 | INFO     | app.collectors.market_collector:save:40 - Saved data\SBIN.csv
2026-07-03 20:03:47.387 | INFO     | app.collectors.market_collector:collect:19 - Downloading LT
2026-07-03 20:03:47.601 | INFO     | app.collectors.market_collector:collect:27 - Downloaded 1238 rows
2026-07-03 20:03:47.734 | INFO     | app.collectors.market_collector:save:40 - Saved data\LT.csv
2026-07-03 20:03:47.735 | INFO     | app.collectors.market_collector:collect:19 - Downloading BHARTIARTL
2026-07-03 20:03:47.940 | INFO     | app.collectors.market_collector:collect:27 - Downloaded 1238 rows
2026-07-03 20:03:48.034 | INFO     | app.collectors.market_collector:save:40 - Saved data\BHARTIARTL.csv
2026-07-03 20:03:48.035 | INFO     | app.collectors.market_collector:collect:19 - Downloading ITC
2026-07-03 20:03:48.419 | INFO     | app.collectors.market_collector:collect:27 - Downloaded 1238 rows
2026-07-03 20:03:48.505 | INFO     | app.collectors.market_collector:save:40 - Saved data\ITC.csv
2026-07-03 20:03:48.507 | INFO     | app.collectors.market_collector:collect:19 - Downloading HINDUNILVR
2026-07-03 20:03:48.736 | INFO     | app.collectors.market_collector:collect:27 - Downloaded 1238 rows
2026-07-03 20:03:48.861 | INFO     | app.collectors.market_collector:save:40 - Saved data\HINDUNILVR.csv
2026-07-03 20:19:58.269 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for RELIANCE
2026-07-03 20:19:58.307 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for TCS
2026-07-03 20:19:58.345 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for INFY
2026-07-03 20:19:58.383 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for HDFCBANK
2026-07-03 20:19:58.409 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for ICICIBANK
2026-07-03 20:19:58.445 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for SBIN
2026-07-03 20:19:58.475 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for LT
2026-07-03 20:19:58.524 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for BHARTIARTL
2026-07-03 20:19:58.557 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for ITC
2026-07-03 20:19:58.596 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for HINDUNILVR
2026-07-03 20:20:13.636 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for RELIANCE
2026-07-03 20:20:13.650 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for TCS
2026-07-03 20:20:13.668 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for INFY
2026-07-03 20:20:13.677 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for HDFCBANK
2026-07-03 20:20:13.688 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for ICICIBANK
2026-07-03 20:20:13.696 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for SBIN
2026-07-03 20:20:13.712 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for LT
2026-07-03 20:20:13.727 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for BHARTIARTL
2026-07-03 20:20:13.740 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for ITC
2026-07-03 20:20:13.754 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for HINDUNILVR
2026-07-03 20:20:32.140 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for RELIANCE
2026-07-03 20:20:43.890 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for TCS
2026-07-03 20:20:58.129 | INFO     | app.collectors.market_collector:collect:27 - Downloading TCS
2026-07-03 20:20:58.866 | INFO     | app.collectors.market_collector:collect:35 - Downloaded 1238 rows
2026-07-03 20:20:59.059 | INFO     | app.collectors.market_collector:save:49 - Saved data\TCS.csv
2026-07-03 20:21:04.803 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for TCS
2026-07-03 20:23:57.019 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for RELIANCE
2026-07-03 20:30:17.747 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for RELIANCE
2026-07-03 20:32:02.275 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for RELIANCE
2026-07-03 20:33:05.533 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for TCS
2026-07-03 20:34:05.362 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for RELIANCE
2026-07-03 20:38:03.630 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for RELIANCE
2026-07-03 20:47:43.680 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for RELIANCE
2026-07-03 20:50:30.171 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for INFY
2026-07-03 21:07:48.043 | INFO     | app.collectors.market_collector:collect:24 - Loading cached data for INFY
2026-07-03 21:08:12.785 | INFO     | app.collectors.market_collector:collect:24 - Loading cached data for INFY
2026-07-03 21:09:02.245 | INFO     | app.collectors.market_collector:collect:24 - Loading cached data for INFY
2026-07-03 21:11:00.773 | INFO     | app.collectors.market_collector:collect:24 - Loading cached data for INFY
2026-07-03 21:12:53.728 | INFO     | app.collectors.market_collector:collect:24 - Loading cached data for INFY
2026-07-03 21:13:25.908 | INFO     | app.collectors.market_collector:collect:24 - Loading cached data for RELIANCE
2026-07-03 21:15:39.922 | INFO     | app.collectors.market_collector:collect:24 - Loading cached data for INFY
2026-07-03 21:17:33.512 | INFO     | app.collectors.market_collector:collect:24 - Loading cached data for INFY
2026-07-03 21:17:33.570 | INFO     | app.collectors.market_collector:save:51 - Saved data\INFY.csv
2026-07-03 21:17:57.881 | INFO     | app.collectors.market_collector:collect:24 - Loading cached data for INFY
2026-07-03 21:17:58.000 | INFO     | app.collectors.market_collector:save:51 - Saved data\INFY.csv
2026-07-03 21:18:51.689 | INFO     | app.collectors.market_collector:collect:24 - Loading cached data for INFY
2026-07-03 21:18:51.816 | INFO     | app.collectors.market_collector:save:52 - Saved data\INFY.csv
2026-07-03 21:18:53.367 | INFO     | app.collectors.market_collector:collect:24 - Loading cached data for INFY
2026-07-03 21:18:53.464 | INFO     | app.collectors.market_collector:save:52 - Saved data\INFY.csv
2026-07-03 21:19:21.464 | INFO     | app.collectors.market_collector:collect:24 - Loading cached data for INFY
2026-07-03 21:19:21.518 | INFO     | app.collectors.market_collector:save:52 - Saved data\INFY.csv
2026-07-03 21:24:37.697 | INFO     | app.collectors.market_collector:collect:28 - Downloading RELIANCE
2026-07-03 21:24:38.341 | INFO     | app.collectors.market_collector:collect:36 - Downloaded 1238 rows
2026-07-03 21:24:38.441 | INFO     | app.collectors.market_collector:save:52 - Saved data\RELIANCE.csv
2026-07-03 21:24:38.514 | INFO     | app.collectors.market_collector:save:52 - Saved data\RELIANCE.csv
2026-07-03 21:24:52.343 | INFO     | app.collectors.market_collector:collect:24 - Loading cached data for RELIANCE
2026-07-03 21:25:06.327 | INFO     | app.collectors.market_collector:collect:24 - Loading cached data for INFY
2026-07-03 21:29:13.492 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for INFY
2026-07-03 21:29:13.650 | INFO     | app.collectors.market_collector:save:58 - Saved data\INFY.csv
2026-07-03 21:29:30.202 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for HDFCBANK
2026-07-03 21:29:30.302 | INFO     | app.collectors.market_collector:save:58 - Saved data\HDFCBANK.csv
2026-07-03 21:33:31.862 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for RELIANCE
2026-07-03 21:33:31.949 | INFO     | app.collectors.market_collector:save:58 - Saved data\RELIANCE.csv
2026-07-03 21:33:32.026 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for TCS
2026-07-03 21:33:32.125 | INFO     | app.collectors.market_collector:save:58 - Saved data\TCS.csv
2026-07-03 21:33:32.227 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for INFY
2026-07-03 21:33:32.353 | INFO     | app.collectors.market_collector:save:58 - Saved data\INFY.csv
2026-07-03 21:33:32.425 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for HDFCBANK
2026-07-03 21:33:32.556 | INFO     | app.collectors.market_collector:save:58 - Saved data\HDFCBANK.csv
2026-07-03 21:33:32.624 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for ICICIBANK
2026-07-03 21:33:32.726 | INFO     | app.collectors.market_collector:save:58 - Saved data\ICICIBANK.csv
2026-07-03 21:33:32.836 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for SBIN
2026-07-03 21:33:32.972 | INFO     | app.collectors.market_collector:save:58 - Saved data\SBIN.csv
2026-07-03 21:33:33.091 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for LT
2026-07-03 21:33:33.174 | INFO     | app.collectors.market_collector:save:58 - Saved data\LT.csv
2026-07-03 21:33:33.285 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for BHARTIARTL
2026-07-03 21:33:33.382 | INFO     | app.collectors.market_collector:save:58 - Saved data\BHARTIARTL.csv
2026-07-03 21:33:33.453 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for ITC
2026-07-03 21:33:33.576 | INFO     | app.collectors.market_collector:save:58 - Saved data\ITC.csv
2026-07-03 21:33:33.682 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for HINDUNILVR
2026-07-03 21:33:33.804 | INFO     | app.collectors.market_collector:save:58 - Saved data\HINDUNILVR.csv
2026-07-03 21:44:43.395 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for RELIANCE
2026-07-03 21:44:43.500 | INFO     | app.collectors.market_collector:save:58 - Saved data\RELIANCE.csv
2026-07-03 21:44:43.591 | INFO     | app.collectors.market_collector:collect:23 - Loading cached data for TCS
