date,open,high,low,close,adj_close,volume,dividends,stock_splits,ema20,ema50,ema200,macd,macd_signal,adx,atr,bb_upper,bb_lower,bb_middle,volume_ma20,rsi,stoch,obv,daily_return,return_5d,return_20d,price_above_ema20,price_above_ema50,price_above_ema200,rsi_overbought,rsi_oversold,macd_bullish,strong_trend,high_volume,near_upper_band,near_lower_band
2021-07-12 00:00:00+05:30,959.8042602539062,969.8419189453124,957.3814086914062,961.8118286132812,943.92626953125,8585292,0.0,0.0,,,,,,0.0,0.0,,,,,,,8585292,,,,False,False,False,False,False,False,False,False,False,False
2021-07-13 00:00:00+05:30,969.149658203125,970.5572509765624,963.6347045898438,969.01123046875,950.9917602539062,6717133,0.0,0.0,,,,,,0.0,0.0,,,,,,,15302425,0.007485249859994658,,,False,False,False,False,False,False,False,False,False,False
2021-07-14 00:00:00+05:30,969.3111572265624,972.3109130859376,960.4965209960938,962.6886596679688,944.7868041992188,8532544,0.0,0.0,,,,,,0.0,0.0,,,,,,,6769881,-0.006524765247274522,,,False,False,False,False,False,False,False,False,False,False
2021-07-15 00:00:00+05:30,966.8421630859376,966.8421630859376,959.2274169921876,961.0042114257812,943.1336669921876,9448356,0.0,0.0,,,,,,0.0,0.0,,,,,,,-2678475,-0.0017497331305101893,,,False,False,False,False,False,False,False,False,False,False
2021-07-16 00:00:00+05:30,963.4962768554688,975.956787109375,963.4270629882812,974.8722534179688,956.7438354492188,8828185,0.0,0.0,,,,,,0.0,0.0,,,,,,,6149710,0.014430781704496853,,,False,False,False,False,False,False,False,False,False,False
2021-07-19 00:00:00+05:30,969.149658203125,980.2256469726562,965.5730590820312,968.6651000976562,950.6519775390624,8354449,0.0,0.0,,,,,,0.0,0.0,,,,,,,-2204739,-0.006367145334734703,0.007125376586661236,,False,False,False,False,False,False,False,False,False,False
2021-07-20 00:00:00+05:30,968.9188842773438,972.8416748046876,961.7656860351562,966.288330078125,948.3195190429688,6741464,0.0,0.0,,,,,,0.0,0.0,,,,,,,-8946203,-0.0024536550550769975,-0.0028099781560919634,,False,False,False,False,False,False,False,False,False,False
2021-07-22 00:00:00+05:30,977.9181518554688,980.1795043945312,968.2958984375,978.7026977539062,960.5029907226562,7972397,0.0,0.0,,,,,,0.0,0.0,,,,,,,-973806,0.012847477599959856,0.016634701079226044,,False,False,False,False,False,False,False,False,False,False
2021-07-23 00:00:00+05:30,985.04833984375,985.04833984375,970.095703125,971.7802124023438,953.709228515625,9937030,0.0,0.0,,,,,,0.0,0.0,,,,,,,-10910836,-0.007073123807106452,0.011213271334758135,,False,False,False,False,False,False,False,False,False,False
2021-07-26 00:00:00+05:30,972.8416748046876,978.8411254882812,955.8123168945312,958.4659423828124,940.642578125,12389668,0.0,0.0,,,,,,0.0,0.0,,,,,,,-23300504,-0.013700906696399007,-0.016829190673582795,,False,False,False,False,False,False,False,False,False,False
