date,open,high,low,close,adj_close,volume,dividends,stock_splits,ema20,ema50,ema200,macd,macd_signal,adx,atr,bb_upper,bb_lower,bb_middle,volume_ma20,rsi,stoch,obv,daily_return,return_5d,return_20d,price_above_ema20,price_above_ema50,price_above_ema200,rsi_overbought,rsi_oversold,macd_bullish,strong_trend,high_volume,near_upper_band,near_lower_band
2021-07-06 00:00:00+05:30,1506.0,1519.0,1500.0,1505.5,1414.81396484375,1072506,0.0,0.0,,,,,,0.0,0.0,,,,,,,1072506,,,,False,False,False,False,False,False,False,False,False,False
2021-07-07 00:00:00+05:30,1495.0,1519.699951171875,1495.0,1516.449951171875,1425.1041259765625,1096808,0.0,0.0,,,,,,0.0,0.0,,,,,,,2169314,0.007273298686067742,,,False,False,False,False,False,False,False,False,False,False
2021-07-08 00:00:00+05:30,1503.0,1524.0,1497.0,1500.699951171875,1410.3028564453125,1456033,0.0,0.0,,,,,,0.0,0.0,,,,,,,713281,-0.010386099447481811,,,False,False,False,False,False,False,False,False,False,False
2021-07-09 00:00:00+05:30,1497.9000244140625,1502.8499755859375,1485.5,1499.5999755859375,1409.269287109375,1248405,0.0,0.0,,,,,,0.0,0.0,,,,,,,-535124,-0.0007329750261393375,,,False,False,False,False,False,False,False,False,False,False
2021-07-12 00:00:00+05:30,1504.4000244140625,1516.0,1491.5999755859375,1500.75,1410.3499755859375,865284,0.0,0.0,,,,,,0.0,0.0,,,,,,,330160,0.0007668874585124996,,,False,False,False,False,False,False,False,False,False,False
2021-07-13 00:00:00+05:30,1515.0,1515.0,1501.3499755859375,1513.5999755859375,1422.4259033203125,995833,0.0,0.0,,,,,,0.0,0.0,,,,,,,1325993,0.008562369206021936,0.005380256118191706,,False,False,False,False,False,False,False,False,False,False
2021-07-14 00:00:00+05:30,1513.550048828125,1549.9000244140625,1508.0,1544.699951171875,1451.652587890625,4010254,0.0,0.0,,,,,,0.0,0.0,,,,,,,5336247,0.020547024370754396,0.018629035516911863,,False,False,False,False,False,False,False,False,False,False
2021-07-15 00:00:00+05:30,1550.0,1625.0,1549.949951171875,1609.3499755859375,1512.408203125,9066480,0.0,0.0,,,,,,0.0,0.0,,,,,,,14402727,0.04185280407694458,0.0723995655022307,,False,False,False,False,False,False,False,False,False,False
2021-07-16 00:00:00+05:30,1609.3499755859375,1622.800048828125,1595.0999755859375,1618.75,1521.2420654296875,4157388,0.0,0.0,,,,,,0.0,0.0,,,,,,,18560115,0.005840882689695848,0.07945453877958819,,False,False,False,False,False,False,False,False,False,False
2021-07-19 00:00:00+05:30,1600.0,1639.4000244140625,1597.5999755859375,1609.5999755859375,1512.643310546875,3027093,0.0,0.0,,,,,,0.0,0.0,,,,,,,15533022,-0.005652524734556019,0.0725303851980259,,False,False,False,False,False,False,False,False,False,False
2021-07-20 00:00:00+05:30,1609.8499755859375,1622.6500244140625,1582.0,1590.3499755859375,1494.552734375,1847026,0.0,0.0,,,,,,0.0,0.0,,,,,,,13685996,-0.011959493223148487,0.0507069247079559,,False,False,False,False,False,False,False,False,False,False
2021-07-22 00:00:00+05:30,1610.0,1647.1500244140625,1591.550048828125,1642.1500244140625,1543.232666015625,3231269,0.0,0.0,,,,,,0.0,0.0,,,,,,,16917265,0.03257147773969704,0.06308673290774536,,False,False,False,False,False,False,False,False,False,False
2021-07-23 00:00:00+05:30,1644.0,1645.949951171875,1606.8499755859375,1611.75,1514.6636962890625,2259058,0.0,0.0,,,,,,0.0,0.0,,,,,,,14658207,-0.01851233076278125,0.0014913004942811448,,False,False,False,False,False,False,False,False,False,False
2021-07-26 00:00:00+05:30,1611.75,1627.300048828125,1592.800048828125,1597.5999755859375,1501.3660888671875,2219416,0.0,0.0,,,,,,0.0,34.960728236607146,,,,,63.10562358717247,69.34732982087043,12438791,-0.008779292330735267,-0.013065652147683404,,False,False,False,False,False,False,False,False,False,False
2021-07-27 00:00:00+05:30,1610.1500244140625,1619.0,1584.25,1608.25,1511.37451171875,3984778,0.0,0.0,,,,,,0.0,34.945676219706634,,,,,65.15120738524809,75.93565200186976,16423569,0.0066662647576447576,-0.0008387025387758262,,False,False,False,False,False,False,False,False,False,False
2021-07-28 00:00:00+05:30,1592.449951171875,1601.300048828125,1553.0,1594.199951171875,1515.1285400390625,4119892,18.0,0.0,,,,,,0.0,36.39598506115616,,,,,60.39389109978857,67.24400541594896,12303677,-0.008736234309420166,0.002420835441909075,,False,False,False,False,False,False,False,False,False,False
2021-07-29 00:00:00+05:30,1594.0,1607.3499755859375,1586.0,1596.0,1516.83935546875,1672177,0.0,0.0,,,,,,0.0,35.32127009864054,,,,,60.7889295707653,68.35755231125546,13975854,0.001129123625177586,-0.028103415478454408,,False,False,False,False,False,False,False,False,False,False
