date,open,high,low,close,adj_close,volume,dividends,stock_splits,ema20,ema50,ema200,macd,macd_signal,adx,atr,bb_upper,bb_lower,bb_middle,volume_ma20,rsi,stoch,obv,daily_return,return_5d,return_20d,price_above_ema20,price_above_ema50,price_above_ema200,rsi_overbought,rsi_oversold,macd_bullish,strong_trend,high_volume,near_upper_band,near_lower_band
2021-07-06 00:00:00+05:30,748.5,770.0,748.0,767.3499755859375,718.0841064453125,17669032,0.0,0.0,,,,,,0.0,0.0,,,,,,,17669032,,,,False,False,False,False,False,False,False,False,False,False
2021-07-07 00:00:00+05:30,767.0,772.6749877929688,763.8499755859375,769.75,720.330078125,9629190,0.0,0.0,,,,,,0.0,0.0,,,,,,,27298222,0.0031276790127345855,,,False,False,False,False,False,False,False,False,False,False
2021-07-08 00:00:00+05:30,762.5,768.8499755859375,756.7249755859375,760.2249755859375,711.4166259765625,8420922,0.0,0.0,,,,,,0.0,0.0,,,,,,,18877300,-0.012374179167343291,,,False,False,False,False,False,False,False,False,False,False
2021-07-09 00:00:00+05:30,756.2750244140625,758.0,748.75,751.0,702.7838745117188,10695842,0.0,0.0,,,,,,0.0,0.0,,,,,,,8181458,-0.012134533700142391,,,False,False,False,False,False,False,False,False,False,False
2021-07-12 00:00:00+05:30,751.0,751.0,742.0,743.5,695.7653198242188,14458978,0.0,0.0,,,,,,0.0,0.0,,,,,,,-6277520,-0.00998668442077233,,,False,False,False,False,False,False,False,False,False,False
2021-07-13 00:00:00+05:30,748.0499877929688,753.0499877929688,742.0499877929688,750.9249877929688,702.7136840820312,18178142,0.0,0.0,,,,,,0.0,0.0,,,,,,,11900622,0.009986533682540433,-0.021404819594119218,,False,False,False,False,False,False,False,False,False,False
2021-07-14 00:00:00+05:30,748.75,753.6749877929688,745.5499877929688,749.5750122070312,701.4503173828125,9788494,0.0,0.0,,,,,,0.0,0.0,,,,,,,2112128,-0.001797750251866237,-0.026209792520907715,,False,False,False,False,False,False,False,False,False,False
2021-07-15 00:00:00+05:30,752.5,763.375,749.8250122070312,760.3499755859375,711.5335693359375,10438802,0.0,0.0,,,,,,0.0,0.0,,,,,,,12550930,0.014374763303782956,0.00016442501103530738,,False,False,False,False,False,False,False,False,False,False
2021-07-16 00:00:00+05:30,763.9749755859375,764.9749755859375,759.4000244140625,761.1749877929688,712.3056030273438,5170628,0.0,0.0,,,,,,0.0,0.0,,,,,,,17721558,0.0010850427218012104,0.01354858560981187,,False,False,False,False,False,False,False,False,False,False
2021-07-19 00:00:00+05:30,743.5,744.4249877929688,733.0,735.5,688.279052734375,25111600,0.0,0.0,,,,,,0.0,0.0,,,,,,,-7390042,-0.03373072973326874,-0.01075991930060527,,False,False,False,False,False,False,False,False,False,False
2021-07-20 00:00:00+05:30,721.0,727.0,718.0750122070312,721.5750122070312,675.248046875,24174250,0.0,0.0,,,,,,0.0,0.0,,,,,,,-31564292,-0.018932682247408184,-0.03908509646509373,,False,False,False,False,False,False,False,False,False,False
2021-07-22 00:00:00+05:30,728.0499877929688,734.25,722.5,724.3499755859375,677.8449096679688,13207114,0.0,0.0,,,,,,0.0,0.0,,,,,,,-18357178,0.003845703262947975,-0.033652451336153466,,False,False,False,False,False,False,False,False,False,False
2021-07-23 00:00:00+05:30,725.75,728.7249755859375,717.6500244140625,721.375,675.0608520507812,13126684,0.0,0.0,,,,,,0.0,0.0,,,,,,,-31483862,-0.004107096964462542,-0.05125925802246889,,False,False,False,False,False,False,False,False,False,False
2021-07-26 00:00:00+05:30,715.0,722.0,714.0499877929688,717.2750244140625,671.2241821289062,13167166,0.0,0.0,,,,,,0.0,12.866062709263392,,,,,22.90076538369668,5.501128564765459,-44651028,-0.005683556521833277,-0.05767394368303458,,False,False,False,False,True,False,False,False,False,False
2021-07-27 00:00:00+05:30,718.0499877929688,724.9500122070312,718.0499877929688,719.875,673.6572265625,22401430,0.0,0.0,,,,,,0.0,12.495271643813776,,,,,26.069585839812788,9.936054937366738,-22249598,0.003624795925470048,-0.02124405166553367,,False,False,False,False,True,False,False,False,False,False
2021-07-28 00:00:00+05:30,717.5250244140625,719.3499755859375,702.0,708.6500244140625,663.1528930664062,20670342,0.0,0.0,,,,,,0.0,12.879537954969935,,,,,21.887082796782636,9.947684132679614,-42919940,-0.015592950978902564,-0.017912188718170796,,False,False,False,False,True,False,False,False,False,False
2021-07-29 00:00:00+05:30,714.125,714.9749755859375,706.6500244140625,709.125,663.5972900390625,13702230,0.0,0.0,,,,,,0.0,12.554210327606011,,,,,22.454016152637422,11.314017883622704,-29217710,0.0006702541022702846,-0.021018811484906585,,False,False,False,False,True,False,False,False,False,False
2021-07-30 00:00:00+05:30,709.5,715.875,703.9749755859375,713.2249755859375,667.43408203125,11655488,0.0,0.0,,,,,,0.0,12.507482762352904,,,,,27.35527779205337,17.824501687371946,-17562222,0.005781738883747556,-0.011297902497400814,,False,False,False,False,True,False,False,False,False,False
