date,open,high,low,close,adj_close,volume,dividends,stock_splits,ema20,ema50,ema200,macd,macd_signal,adx,atr,bb_upper,bb_lower,bb_middle,volume_ma20,rsi,stoch,obv,daily_return,return_5d,return_20d,price_above_ema20,price_above_ema50,price_above_ema200,rsi_overbought,rsi_oversold,macd_bullish,strong_trend,high_volume,near_upper_band,near_lower_band
2021-07-14 00:00:00+05:30,2439.800048828125,2441.35009765625,2409.0,2414.85009765625,2214.255126953125,1377829,0.0,0.0,,,,,,0.0,0.0,,,,,,,1377829,,,,False,False,False,False,False,False,False,False,False,False
2021-07-15 00:00:00+05:30,2425.0,2425.0,2401.0,2412.35009765625,2211.962890625,693792,0.0,0.0,,,,,,0.0,0.0,,,,,,,684037,-0.0010352609474295615,,,False,False,False,False,False,False,False,False,False,False
2021-07-16 00:00:00+05:30,2420.0,2430.0,2406.0,2417.39990234375,2216.5927734375,545405,0.0,0.0,,,,,,0.0,0.0,,,,,,,1229442,0.002093313359618154,,,False,False,False,False,False,False,False,False,False,False
2021-07-19 00:00:00+05:30,2400.050048828125,2417.0,2398.5,2408.64990234375,2208.56982421875,463873,0.0,0.0,,,,,,0.0,0.0,,,,,,,765569,-0.0036195914426556675,,,False,False,False,False,False,False,False,False,False,False
2021-07-20 00:00:00+05:30,2403.0,2460.0,2403.0,2434.89990234375,2232.639404296875,1061476,0.0,0.0,,,,,,0.0,0.0,,,,,,,1827045,0.010898221437020572,,,False,False,False,False,False,False,False,False,False,False
2021-07-22 00:00:00+05:30,2450.0,2508.0,2375.5,2378.14990234375,2180.60302734375,3546044,0.0,0.0,,,,,,0.0,0.0,,,,,,,-1718999,-0.023306912922939627,-0.01519771158802763,,False,False,False,False,False,False,False,False,False,False
2021-07-23 00:00:00+05:30,2382.0,2391.75,2354.699951171875,2358.10009765625,2162.21923828125,1517589,0.0,0.0,,,,,,0.0,0.0,,,,,,,-3236588,-0.008430841414891588,-0.022488443967029204,,False,False,False,False,False,False,False,False,False,False
2021-07-26 00:00:00+05:30,2357.25,2360.0,2338.0,2348.699951171875,2153.599853515625,1311535,0.0,0.0,,,,,,0.0,0.0,,,,,,,-4548123,-0.003986322079252647,-0.028418943471151814,,False,False,False,False,False,False,False,False,False,False
2021-07-27 00:00:00+05:30,2348.699951171875,2359.449951171875,2332.0,2342.39990234375,2147.822998046875,1656945,0.0,0.0,,,,,,0.0,0.0,,,,,,,-6205068,-0.0026823557538635523,-0.027505035055337412,,False,False,False,False,False,False,False,False,False,False
2021-07-28 00:00:00+05:30,2350.0,2368.449951171875,2343.10009765625,2361.39990234375,2165.24462890625,912373,0.0,0.0,,,,,,0.0,0.0,,,,,,,-5292695,0.008111339135981499,-0.03018604581208917,,False,False,False,False,False,False,False,False,False,False
2021-07-29 00:00:00+05:30,2361.39990234375,2371.39990234375,2330.0,2334.75,2140.808837890625,1012663,0.0,0.0,,,,,,0.0,0.0,,,,,,,-6305358,-0.011285637099120449,-0.018249439322970296,,False,False,False,False,False,False,False,False,False,False
2021-07-30 00:00:00+05:30,2340.0,2356.550048828125,2318.0,2333.300048828125,2139.478759765625,1708251,0.0,0.0,,,,,,0.0,0.0,,,,,,,-8013609,-0.0006210305908019853,-0.010516961876543829,,False,False,False,False,False,False,False,False,False,False
2021-08-02 00:00:00+05:30,2342.0,2353.39990234375,2324.60009765625,2332.800048828125,2139.0205078125,1229936,0.0,0.0,,,,,,0.0,0.0,,,,,,,-9243545,-0.00021428877106954847,-0.006769660950440626,,False,False,False,False,False,False,False,False,False,False
